央视网,#genre#
CCTV-1综合,webview://https://tv.cctv.com/live/cctv1/
CCTV-2财经,webview://https://tv.cctv.com/live/cctv2/
CCTV-3综艺,webview://https://tv.cctv.com/live/cctv3/
CCTV-4中文国际,webview://https://tv.cctv.com/live/cctv4/
CCTV-5体育,webview://https://tv.cctv.com/live/cctv5/
CCTV5+体育赛事,webview://https://tv.cctv.com/live/cctv5plus/
CCTV-6电影,webview://https://tv.cctv.com/live/cctv6/
CCTV-7国防军事,webview://https://tv.cctv.com/live/cctv7/
CCTV-8电视剧,webview://https://tv.cctv.com/live/cctv8/
CCTV-9纪录,webview://https://tv.cctv.com/live/cctvjilu/
CCTV-10科教,webview://https://tv.cctv.com/live/cctv10/
CCTV-11戏曲,webview://https://tv.cctv.com/live/cctv11/
CCTV-12社会与法,webview://https://tv.cctv.com/live/cctv12/
CCTV-13新闻,webview://https://tv.cctv.com/live/cctv13/
CCTV-14少儿,webview://https://tv.cctv.com/live/cctvchild/
CCTV-15音乐,webview://https://tv.cctv.com/live/cctv15/
CCTV-16奥林匹克,webview://https://tv.cctv.com/live/cctv16/
CCTV-17农业农村,webview://https://tv.cctv.com/live/cctv17/
CCTV4欧洲,webview://https://tv.cctv.com/live/cctveurope/index.shtml
CCTV4美洲,webview://https://tv.cctv.com/live/cctvamerica/

CCTV-1综合,webview://https://yangshipin.cn/tv/home?pid=600001859
CCTV-2财经,webview://https://yangshipin.cn/tv/home?pid=600001800
CCTV-4中文国际,webview://https://yangshipin.cn/tv/home?pid=600001814
CCTV-5体育,webview://https://yangshipin.cn/tv/home?pid=600001818
CCTV5+体育赛事,webview://https://www.yangshipin.cn/tv/home?pid=600001817
CCTV-6电影,webview://https://yangshipin.cn/tv/home?pid=600108442
CCTV-7国防军事,webview://https://yangshipin.cn/tv/home?pid=600004092
CCTV-8电视剧,webview://https://yangshipin.cn/tv/home?pid=600001803
CCTV-9纪录,webview://https://yangshipin.cn/tv/home?pid=600004078
CCTV-10科教,webview://https://yangshipin.cn/tv/home?pid=600001805
CCTV-11戏曲,webview://https://yangshipin.cn/tv/home?pid=600001806
CCTV-12社会与法,webview://https://yangshipin.cn/tv/home?pid=600001807
CCTV-13新闻,webview://https://yangshipin.cn/tv/home?pid=600001811
CCTV-14少儿,webview://https://yangshipin.cn/tv/home?pid=600001809
CCTV-15音乐,webview://https://yangshipin.cn/tv/home?pid=600001815
CCTV-16奥林匹克,webview://https://yangshipin.cn/tv/home?pid=600098637
CCTV-17农业农村,webview://https://yangshipin.cn/tv/home?pid=600001810
CCTV4K,webview://https://yangshipin.cn/tv/home?pid=600002264
风云剧场,webview://https://yangshipin.cn/tv/home?pid=600099658
第一剧场,webview://https://yangshipin.cn/tv/home?pid=600099655
怀旧剧场,webview://https://yangshipin.cn/tv/home?pid=600099620
CGTN,webview://https://yangshipin.cn/tv/home?pid=600014550
CGTN纪录,webview://https://yangshipin.cn/tv/home?pid=600084781
CGTN俄语,webview://https://yangshipin.cn/tv/home?pid=600084758
CGTN法语,webview://https://yangshipin.cn/tv/home?pid=600084704
CGTN西语,webview://https://yangshipin.cn/tv/home?pid=600084744
CGTN阿语,webview://https://yangshipin.cn/tv/home?pid=600084782
